,name,sector,positives,negatives,votes,rating
982,Power Grid Corporation of India,Power,"Company Culture, Salary & Benefits, Work Life Balance",nan,1k,4.3
983,HPCL-Mittal Energy Limited,Petrochemicals,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1k,4.3
984,Pernod Ricard,Beverage,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security",1k,3.5
985,Klm Axiva Finvest,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",nan,1k,4.4
986,Spencer's Retail,Retail,nan,Promotions / Appraisal,1k,3.8
987,TÜV NORD,"Testing, Inspection and Certification (TIC)",nan,Promotions / Appraisal,1k,3.7
988,TKIL,Industrial Machinery,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1k,4.1
989,Zf Rane Automotive,Auto Components,"Skill Development / Learning, Job Security",Promotions / Appraisal,1k,3.9
990,Nippon Life India Asset Management,Financial Services,"Company Culture, Work Life Balance, Job Security",nan,1k,4.6
991,Bharat Sanchar Nigam,Telecom,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",1k,3.9
992,Northcorp Software,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",nan,1k,4.8
993,Kinara Capital,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",nan,1k,4.2
994,Thermo Fisher Scientific,Biotechnology,nan,Promotions / Appraisal,1k,3.7
995,Dana Anand,Auto Components,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1k,4.0
996,GlobalData,Analytics & KPO,nan,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1k,3.4
997,Tata Capital Housing Finance,NBFC,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,1k,4.0
998,Aspire Systems,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1k,3.8
999,Hindustan Zinc,Metals & Mining,Salary & Benefits,"Company Culture, Work Life Balance, Promotions / Appraisal",1k,3.8
1000,Greenko Group,Power,"Job Security, Work Life Balance",Promotions / Appraisal,1k,3.9
1001,Ceasefire Industries,Industrial Machinery,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",1k,3.1
1002,Wheels,Auto Components,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1k,3.9
1003,ValueMomentum,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",1k,3.2
1004,Gharda Chemicals Limited,Agro Chemicals,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,1k,3.9
1005,Amara Raja Group,Auto Components,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,1k,4.1
1006,SYSKA LED Lights,Consumer Electronics & Appliances,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",1k,2.9
1007,Sahara India Pariwar,Broadcasting,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1k,3.8
1008,Incheon Motors,Automobile,"Company Culture, Job Security, Skill Development / Learning",nan,1k,4.7
1009,Netcracker Technology,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",1k,3.0
1010,BirlaNu,Building Material,Salary & Benefits,Promotions / Appraisal,1k,3.9
1011,Otis Elevator,Industrial Machinery,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1k,4.1
1012,Lakshmi Machine Works,Industrial Machinery,Job Security,Promotions / Appraisal,1k,3.8
1013,iQor Global Services,BPO,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1k,3.3
1014,IIFL Home Finance,NBFC,Work Life Balance,Promotions / Appraisal,1.1k,3.8
1015,Vistaar Finance,NBFC,"Salary & Benefits, Work Life Balance",nan,1k,3.9
1016,Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Satisfaction",1k,3.7
1017,Fractal Analytics,Analytics & KPO,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,1k,4.0
1018,Hitachi Energy,Power,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1k,4.1
1019,Allianz Technology,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1k,4.0
1020,Uber,Internet,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1k,4.1
1021,Temenos,Software Product,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",1k,3.2
1022,Vertiv,Electronics Manufacturing,"Job Security, Work Life Balance",Promotions / Appraisal,1k,3.9
1023,Encora,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",1k,3.4
1024,Suzuki Motorcycle,Automobile,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1k,4.0
1025,SitusAMC,Financial Services,nan,"Promotions / Appraisal, Company Culture, Skill Development / Learning",1k,3.3
1026,NBC Bearings,Auto Components,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",1k,3.9
1027,Malabar Gold and Diamonds,Jewellery,"Job Security, Company Culture, Skill Development / Learning",nan,999,4.0
1028,IB Group,Food Processing,nan,"Promotions / Appraisal, Job Security",998,3.8
1029,TradeIndia (Infocom Network Private Limited),Internet,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",999,3.4
1030,Lemon Tree Hotels,Hospitality,"Company Culture, Job Security, Work Life Balance",nan,998,4.0
1031,GVPR Engineers,Engineering & Construction,Salary & Benefits,"Promotions / Appraisal, Job Security, Skill Development / Learning",997,3.7
1032,ALLEN Career Institute,Education & Training,Work Life Balance,Promotions / Appraisal,998,3.8
1033,MakeMyTrip,Internet,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",999,3.4
1034,Shyam Steel Group,Iron & Steel,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",995,3.5
1035,Visionet Systems,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",994,3.3
1036,Perfetti Van Melle,FMCG,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,993,4.2
1037,SLMG Beverages,Beverage,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,993,3.9
1038,Westside,Retail,"Job Security, Skill Development / Learning",Promotions / Appraisal,990,3.8
1039,Hinduja Housing Finance,NBFC,nan,"Promotions / Appraisal, Company Culture",991,3.7
1040,Syrma SGS Technologies,Electronics Manufacturing,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,988,4.0
1041,eClinicalWorks,Software Product,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",988,3.6
1042,Secure Meters,Electronics Manufacturing,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",986,3.9
1043,Bounteous x Accolite,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",987,3.2
1044,CarDekho Group,Internet,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",986,3.7
1045,United Breweries,Beverage,nan,"Promotions / Appraisal, Job Security, Company Culture",986,3.3
1046,AstraZeneca,Pharma,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,985,3.9
1047,Hitachi Payment Services,FinTech,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",985,3.6
1048,Atlas Copco,Industrial Machinery,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,984,4.1
1049,JW Marriott,Hospitality,"Job Security, Skill Development / Learning, Company Culture",nan,983,4.2
1050,Colgate Palmolive,FMCG,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,988,4.0
1051,Innodata India Private Limited,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",982,3.5
1052,Pristyn Care,Internet,nan,"Work Life Balance, Job Security, Work Satisfaction",981,3.2
1053,Fortrea Development India Private Limited,Clinical Research,"Company Culture, Work Life Balance",Promotions / Appraisal,982,3.9
1054,Tata Cummins,Auto Components,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,981,4.4
1055,Mastek,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",981,3.6
1056,Thomas Cook,Travel & Tourism,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,980,4.0
1057,QX Global Group,BPO,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",980,3.1
1058,ALTEN,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Job Security",977,3.6
1059,Comviva Technology,Software Product,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",976,2.9
1060,Star Cement,Building Material,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,976,4.0
1061,Collins Aerospace,Defence & Aerospace,"Work Life Balance, Job Security","Promotions / Appraisal, Work Satisfaction",976,3.8
1062,Amazon Web Services,IT Services & Consulting,Salary & Benefits,"Job Security, Promotions / Appraisal, Work Satisfaction",975,3.8
1063,Škoda Auto Volkswagen,Automobile,"Work Life Balance, Company Culture",Promotions / Appraisal,974,3.9
1064,Rebel Foods,Hospitality,nan,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",973,3.7
1065,Cult.fit,Fitness & Wellness,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",972,3.6
1066,Mahindra Automotives,Automobile,"Job Security, Skill Development / Learning",Promotions / Appraisal,969,3.8
1067,Aparajitha Corporate Services,Legal,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",969,3.8
1068,Everest Industries,Building Material,Work Life Balance,Promotions / Appraisal,968,3.8
1069,Vaco Binary Semantics,IT Services & Consulting,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",968,3.1
1070,Arohan Financial Services,NBFC,Salary & Benefits,Promotions / Appraisal,967,3.9
1071,Altisource,Real Estate,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",966,3.5
1072,C&S Electric,Electrical Equipment,"Job Security, Work Life Balance",Promotions / Appraisal,967,4.0
1073,Unity Small Finance Bank,Banking,nan,"Promotions / Appraisal, Job Security, Company Culture",1k,3.6
1074,Pizza Hut,Hospitality,"Skill Development / Learning, Company Culture, Work Life Balance",nan,965,4.0
1075,Softenger,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,965,3.9
1076,Xebia,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",965,3.1
1077,Hiranandani Financial Services,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",nan,964,4.4
1078,MasterCard,FinTech,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,963,3.8
1079,VIP Industries,Retail,nan,"Promotions / Appraisal, Job Security, Company Culture",960,3.8
1080,Kendriya Vidyalaya Sangathan,Education & Training,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Job Security",960,4.3
1081,VIP Industries,Retail,nan,"Promotions / Appraisal, Job Security, Company Culture",960,3.8
1082,TechnipFMC,Engineering & Construction,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,960,3.9
1083,Siemens Energy,Power,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,959,4.1
1084,Natco Pharma,Pharma,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,959,4.0
1085,Nasser S. Al Hajri Corporation,Engineering & Construction,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits",955,3.6
1086,Petrofac,Oil & Gas,"Salary & Benefits, Company Culture, Work Life Balance",Job Security,955,4.2
1087,Napino Auto & Electronics,Auto Components,nan,Promotions / Appraisal,955,3.8
1088,Lowe's,Retail,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,955,4.1
1089,Wonder Cement,Building Material,"Salary & Benefits, Company Culture, Work Life Balance",nan,954,4.2
1090,Merino Industries,Building Material,nan,Promotions / Appraisal,955,3.8
1091,Capacit'e Infraprojects,Engineering & Construction,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",953,3.7
1092,Jyothy Labs,FMCG,"Salary & Benefits, Company Culture, Work Life Balance",nan,952,4.1
1093,Lumina Datamatics,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",951,3.2
1094,Pricol,Auto Components,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,950,3.9
1095,Episource,IT Services & Consulting,"Company Culture, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",950,3.9
1096,Quantiphi Analytics Solutions Private Limited,IT Services & Consulting,nan,"Job Security, Work Life Balance, Promotions / Appraisal",950,3.1
1097,LOREAL,Beauty & Personal Care,Salary & Benefits,Promotions / Appraisal,949,3.8
1098,Tiger Analytics,IT Services & Consulting,nan,Promotions / Appraisal,951,3.7
1099,Gannon Dunkerley & Co.,Engineering & Construction,nan,"Salary & Benefits, Promotions / Appraisal, Company Culture",948,3.4
1100,General Mills,Food Processing,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,947,4.1
1101,Yokohama Off-Highway Tires,Auto Components,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",946,3.7
1102,J B Chemicals And Pharmaceuticals,Pharma,nan,Promotions / Appraisal,946,3.9
1103,JSW Group,Iron & Steel,"Job Security, Skill Development / Learning",Promotions / Appraisal,945,3.8
1104,Mando Automotive,Auto Components,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,944,4.0
1105,Financial Software & Systems,Software Product,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",942,3.6
1106,Jubilant Pharmova,Pharma,nan,Promotions / Appraisal,941,3.7
1107,Defence Research & Development Organisation,Defence & Aerospace,"Work Life Balance, Company Culture, Work Satisfaction",nan,939,4.5
1108,Salcomp Manufacturing,Electronics Manufacturing,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,935,4.0
1109,Technip Energies,Engineering & Construction,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,935,4.1
1110,Shriram General Insurance,Insurance,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",933,3.6
1111,Hathway,Telecom,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",932,3.4
1112,Velocis Systems,IT Services & Consulting,"Work Life Balance, Job Security",Promotions / Appraisal,932,3.8
1113,KEI Industries,Electrical Equipment,"Salary & Benefits, Job Security, Work Life Balance",nan,932,4.2
1114,Guidehouse,Management Consulting,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",931,3.6
1115,BDR Pharmaceuticals International,Pharma,"Company Culture, Job Security, Skill Development / Learning",nan,931,4.1
1116,ICCS,BPO,nan,"Promotions / Appraisal, Job Security, Company Culture",930,3.1
1117,Amphenol Interconnect,Electrical Equipment,"Work Life Balance, Company Culture, Job Security",nan,930,4.3
1118,Pramerica Life Insurance,Insurance,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",930,3.6
1119,National Payments Corporation of India,FinTech,"Job Security, Skill Development / Learning, Work Life Balance",nan,932,4.0
1120,Tikona Infinet,Telecom,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",929,3.5
1121,Astral Adhesives,Chemicals,Salary & Benefits,Promotions / Appraisal,929,3.9
1122,FLSmidth,Industrial Machinery,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning",928,3.5
1123,Skipper,Industrial Machinery,nan,Promotions / Appraisal,929,3.8
1124,Timken,Industrial Machinery,nan,"Promotions / Appraisal, Salary & Benefits",927,3.9
1125,VeeTechnologies,IT Services & Consulting,"Job Security, Work Life Balance",Promotions / Appraisal,927,3.8
1126,Jaro Education,EdTech,nan,"Work Life Balance, Company Culture, Work Satisfaction",927,3.2
1127,Aircel,Telecom,"Company Culture, Work Life Balance, Work Satisfaction",nan,927,4.4
1128,Sandhar Technologies,Auto Components,nan,Promotions / Appraisal,926,3.8
1129,Marsh McLennan,Management Consulting,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,926,3.9
1130,Naukri,Internet,"Job Security, Company Culture, Work Life Balance",nan,923,4.2
1131,Signify,Consumer Electronics & Appliances,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",922,3.4
1132,Reliance Power,Power,"Job Security, Work Life Balance, Work Satisfaction",nan,921,4.1
1133,Aristo Pharmaceuticals,Pharma,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,921,4.0
1134,Psp Projects,Engineering & Construction,Skill Development / Learning,Promotions / Appraisal,921,3.9
1135,Bhanzu,EdTech,Skill Development / Learning,nan,919,3.8
1136,SFO Technologies,Electronics Manufacturing,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",918,3.4
1137,Adani Enterprises,Metals & Mining,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",916,3.7
1138,Amazon Sellers Services,Internet,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,915,4.0
1139,Sundaram Clayton,Auto Components,"Skill Development / Learning, Salary & Benefits","Job Security, Promotions / Appraisal",913,3.9
1140,KMV Projects Limited,Engineering & Construction,"Salary & Benefits, Company Culture, Work Satisfaction",nan,912,4.2
1141,Bayer,Pharma,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,911,4.1
1142,Godfrey Phillips India,FMCG,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,911,4.0
1143,Knight Frank,Real Estate,"Company Culture, Work Life Balance, Work Satisfaction",nan,909,4.1
1144,Test Yantra Software Solutions,IT Services & Consulting,nan,"Promotions / Appraisal, Company Culture, Job Security",908,3.1
1145,Nityo Infotech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",906,3.3
1146,Tafe Motors & Tractors,Industrial Machinery,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",905,3.9
1147,Navayuga Engineering Company,Engineering & Construction,nan,Promotions / Appraisal,906,3.9
1148,Deepak Fertilisers and Petrochemicals,Chemicals,"Job Security, Work Life Balance, Skill Development / Learning",nan,905,4.1
1149,GE Healthcare,Medical Equipment,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,905,3.9
1150,Apotex Research,Pharma,Work Life Balance,"Promotions / Appraisal, Job Security",905,3.8
1151,Xceedance,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",906,3.6
1152,Netscribes,Analytics & KPO,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",903,2.7
1153,Nirma,FMCG,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,903,4.2
1154,Volvo,Automobile,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",901,4.0
1155,Experis IT,Recruitment,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",903,3.0
1156,Neel Metal Products,Auto Components,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,900,4.1
1157,Aviva Life Insurance India,Insurance,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",896,3.5
1158,HomeLane,Architecture & Interior Design,nan,"Job Security, Promotions / Appraisal, Work Life Balance",895,3.3
1159,Egis India Consulting Engineers,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction",nan,895,4.2
1160,Steag Energy Services,Power,"Job Security, Work Life Balance, Company Culture",nan,894,4.3
1161,Schlumberger,Oil & Gas,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Work Satisfaction",894,3.8
1162,Medhaj Techno Concept,Management Consulting,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Job Security",894,4.0
1163,SKH Metals,Auto Components,"Company Culture, Work Life Balance, Skill Development / Learning",nan,894,4.0
1164,OCS Group,Facility Management Services,"Work Life Balance, Company Culture, Work Satisfaction",nan,893,4.1
1165,Volkswagen,Automobile,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,893,4.2
1166,Bosch Chassis Systems,Auto Components,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,892,4.1
1167,Medha Servo Drives,Electrical Equipment,"Job Security, Skill Development / Learning, Company Culture",nan,892,4.3
1168,CIEL HR,Recruitment,"Work Life Balance, Company Culture",Promotions / Appraisal,891,3.9
1169,AJIO,Internet,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",890,3.6
1170,Yashoda Hospitals,Healthcare,"Company Culture, Skill Development / Learning",Promotions / Appraisal,888,3.9
1171,Re Sustainability Limited,Waste Management,"Job Security, Work Life Balance",Promotions / Appraisal,887,3.8
1172,Birla Opus,Chemicals,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,888,4.0
1173,Target,Retail,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,888,4.0
1174,Ashirvad Pipes,Building Material,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,885,3.9
1175,BGR Energy Systems,Engineering & Construction,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",885,3.8
1176,Vedanta Resources,Metals & Mining,"Salary & Benefits, Job Security","Company Culture, Promotions / Appraisal, Work Life Balance",886,3.7
1177,HT Media,Media & Entertainment,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",884,3.1
1178,Michelin,Auto Components,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",883,3.8
1179,Alok Industries,Fashion & Textile,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",882,3.5
1180,LanceSoft,Recruitment,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",880,3.3
1181,Tata Chemicals,Chemicals,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,878,3.9
1182,Updater Services,Facility Management Services,nan,"Promotions / Appraisal, Job Security, Company Culture",878,3.7
1183,Musashi Auto Parts,Auto Components,nan,Promotions / Appraisal,877,3.9
1184,TNQ Tech Private Limited,Printing & Publishing,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",877,3.5
1185,Vijay Sales,Retail,"Job Security, Salary & Benefits, Company Culture",nan,876,4.2
1186,Regulated Council of Immigration Consultants,Other,"Company Culture, Work Life Balance, Work Satisfaction",nan,874,4.9
1187,JSW Paints,Chemicals,nan,Promotions / Appraisal,873,3.8
1188,Marks & Spencer,Retail,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,872,3.9
1189,FastInfo,Internet,"Company Culture, Work Satisfaction, Skill Development / Learning",nan,869,4.1
1190,Orient Electric,Consumer Electronics & Appliances,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",869,3.7
1191,ACL Digital,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",866,3.6
1192,C.R.I. Pumps,Industrial Machinery,Skill Development / Learning,Promotions / Appraisal,865,3.9
1193,Next Education India,EdTech,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",865,3.2
1194,Centum Electronics,Electronics Manufacturing,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",864,3.5
1195,"Commonwealth Bank of Australia, India",Financial Services,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction",863,2.8
1196,Carborundum Universal Limited,Industrial Machinery,nan,"Promotions / Appraisal, Work Satisfaction",863,3.7
1197,Sona Comstar,Auto Components,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,863,4.0
1198,Greenlam Industries,Furniture & Furnishing,"Work Life Balance, Job Security, Salary & Benefits",nan,863,4.1
1199,RAMTeCH Software Solutions,IT Services & Consulting,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",862,3.7
1200,Wakefit,Furniture & Furnishing,"Salary & Benefits, Work Life Balance, Skill Development / Learning",nan,863,4.0
1201,MAS Financial Services,NBFC,nan,Promotions / Appraisal,861,3.7
1202,Tata Starbucks,Hospitality,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,859,4.0
1203,Acme Cleantech Solutions,Power,"Salary & Benefits, Work Life Balance, Work Satisfaction",nan,858,4.0
1204,Future Focus Infotech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",858,3.4
1205,National Health Mission,Healthcare,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",858,3.4
1206,Parekh Integrated Services,Logistics,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,857,4.1
1207,Magna International,Auto Components,Work Life Balance,Promotions / Appraisal,856,3.8
1208,Athena BPO,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",855,3.3
1209,Silaris Informations,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",855,3.0
1210,Bechtel,Engineering & Construction,"Salary & Benefits, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",853,3.9
1211,Intellipaat Software Solutions,EdTech,"Skill Development / Learning, Salary & Benefits",nan,861,3.8
1212,Precision Infomatic M Pvt Ltd,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits",852,3.8
1213,Ageas Federal Life Insurance,Insurance,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",852,3.5
1214,WSP,Management Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,851,4.2
1215,Shilpa Medicare,Pharma,nan,"Company Culture, Job Security, Work Satisfaction",850,3.4
1216,Apar Industries,Semiconductors,"Work Life Balance, Job Security, Salary & Benefits",nan,850,4.0
1217,M3M India,Real Estate,"Salary & Benefits, Work Life Balance, Company Culture",nan,850,4.0
1218,LEAD School,EdTech,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",849,3.3
1219,Motherson Sumi Wiring,Electrical Equipment,Job Security,"Company Culture, Work Satisfaction, Promotions / Appraisal",904,3.7
1220,H&M,Fashion & Textile,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,848,3.9
1221,Torry Harris Integration Solutions,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,847,4.2
1222,Fedbank Financial Services,NBFC,"Work Life Balance, Salary & Benefits, Company Culture",nan,846,4.0
1223,Mahindra First Choice Wheels,Internet,nan,Promotions / Appraisal,845,3.8
1224,Panacea Biotec,Biotechnology,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",845,3.6
1225,Porter,Internet,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",846,3.5
1226,IDEMIA,Electronics Manufacturing,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",846,3.9
1227,Serco,Analytics & KPO,"Company Culture, Work Satisfaction, Skill Development / Learning",nan,844,4.2
1228,Tata Hitachi Construction Machinery,Industrial Machinery,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,844,4.0
1229,Rico Auto Industries,Auto Components,nan,Promotions / Appraisal,844,3.8
1230,Nlb Services,Recruitment,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",843,3.6
1231,Wipro PARI,Industrial Automation,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",844,3.2
1232,Swaraj Tractors,Automobile,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,842,4.0
1233,Jaya Hind Industries,Auto Components,nan,"Promotions / Appraisal, Job Security, Company Culture",842,3.7
1234,MOURI Tech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",842,3.6
1235,Epsilon,Marketing & Advertising,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",842,3.6
1236,Ups Logistics,Logistics,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",841,3.6
1237,Zudio,Retail,"Job Security, Skill Development / Learning, Salary & Benefits",nan,838,3.8
1238,Mahindra Tractors,Automobile,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,837,4.1
1239,Bank of India,Banking,"Job Security, Salary & Benefits",nan,837,3.9
1240,Satya MicroCapital,NBFC,Salary & Benefits,"Work Life Balance, Work Satisfaction, Job Security",838,3.6
